Command,Hex Code,ASCII
3D Setting - Direct access to 3D Setting menu (X30/X70/X90/RS45/55/65),21 89 01 52 43 37 33 44 35 0A,D5
3D Format - Cycles through all available 3D formats (X30/X70/X90/RS45/55/65),21 89 01 52 43 37 33 44 36 0A,D6
Advanced - Direct access to Picture Adjust > Advanced menu (HD550/950/990/X3/X7/X9/ X30/X70/X90/RS15/25/35/40/50/60/45/55/65),21 89 01 52 43 37 33 37 33 0A,73
"Anamorphic - Off
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65) Vertical Stretch - Off
(HD350/750/950/990/RS10/20/25/35)",21 89 01 52 43 37 33 32 34 0A,24
"Anamorphic - A
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65) Vertical Stretch - On
(HD350/750/950/990/RS10/20/25/35)",21 89 01 52 43 37 33 32 33 0A,23
"Anamorphic - B
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 32 42 0A,2B
Anamorphic - Cycles through Off/A/B (X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65),21 89 01 52 43 37 33 43 35 0A,C5
Aspect - 16:9,21 89 01 52 43 37 33 32 36 0A,26
Aspect - 4:3,21 89 01 52 43 37 33 32 35 0A,25
Aspect - Zoom,21 89 01 52 43 37 33 32 37 0A,27
"Aspect (PC) - Auto
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 41 45 0A,AE
"Aspect (PC) - Full
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 30 0A,B0
"Aspect (PC) - Just
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 41 46 0A,AF
Aspect + (cycles through all available modes),21 89 01 52 43 37 33 37 37 0A,77
Auto Align (PC input on HD750/950/990/X7/X9/ X70/X90/RS20/25/35/50/60/55/65),21 89 01 52 43 37 33 31 33 0A,13
"Auto Lens Centre
(X3/X7/X9/X70/X90/RS50/60/45/55/65)",21 89 01 52 43 37 33 43 39 0A,C9
Back - Steps backwards through menus and removes any OSD messages,21 89 01 52 43 37 33 30 33 0A,3
BNR (Block Noise Reduction) - Off,21 89 01 52 43 37 33 31 30 0A,10
BNR (Block Noise Reduction) - On,21 89 01 52 43 37 33 30 46 0A,0F
Bright Level - (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 41 33 0A,A3
Bright Level + (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 41 32 0A,A2
Brightness –,21 89 01 52 43 37 33 37 42 0A,7B
Brightness +,21 89 01 52 43 37 33 37 41 0A,7A
Brightness Adj. (Adjustment Bar On/Off toggle),21 89 01 52 43 37 33 30 39 0A,9
CEC - Off,21 89 01 52 43 37 33 35 37 0A,57
CEC - On,21 89 01 52 43 37 33 35 36 0A,56
Clear Motion Drive - Cycles through: Off/ Mode 1/Mode 2/Mode 3/Mode 4/Inverse Telecine (X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65),21 89 01 52 43 37 33 38 41 0A,8A
"Clear Motion Drive - Off
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 34 37 0A,47
"Clear Motion Drive - Mode 1
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 43 45 0A,CE
"Clear Motion Drive - Mode 2
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 43 46 0A,CF
"Clear Motion Drive - Mode 3
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 34 38 0A,48
"Clear Motion Drive - Mode 4
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 34 39 0A,49
Clear Motion Drive - Inverse Telecine (X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65),21 89 01 52 43 37 33 34 41 0A,4A
Colour –,21 89 01 52 43 37 33 37 44 0A,7D
Colour +,21 89 01 52 43 37 33 37 43 0A,7C
Colour Adj. (Adjustment Bar On/Off toggle),21 89 01 52 43 37 33 31 35 0A,15
Colour Management - Off (HD750/950/990/ X7/X9/RS20/25/35/50/60/55/65),21 89 01 52 43 37 33 36 30 0A,60
Colour Management - Custom 1 (HD750/950/ 990/X7/X9/RS20/25/35/50/60/55/65),21 89 01 52 43 37 33 36 31 0A,61
