Command,Description,Related Query Command,Report,
IDQ?,Query model and firmware version,"returns IDQ followed by model, software version, region, software build date e.g. ""IDQMRX 1120 US 0.2.3Oct 23 2015""",,
IDM?,Query model,"returns IDM followed by model e.g. ""IDMMRX 1120""",,
IDS?,Query software version,"returns IDS followed by software version e.g. ""IDS0.2.3""",,
IDR?,Query region,"returns IDR followed by region e.g. ""IDRUS""",,
IDB?,Query software build date,"returns IDB followed by software build date e.g. ""IDBOct 23 2015""",,
IDH?,Query hardware version,"returns IDH followed by hardware version e.g. ""IDH1""",,
IDN?,Query MCU MAC Address,"returns IDN followed by the unit's unique address e.g. ""IDN7CB77B014FE5""",,
ECHx,"Tx status set. x=0 off, x=1 on (report running changes to any settings marked as Report)",ECH? returns ECHx,,
FPBx,"Front panel brightness: 0=off, 1=low, 2=medium, 3=high, n=cycle to next",FPB? returns FPBx (x=0-3),yes,
SDVSxxy,"Set Dolby Volume off (y=0) or on (y=1) for the Input # xx (xx=00-ZZ where ZZ is the number of active input configurations, 00=the current input).",SDVSxx? returns SDVSxxy,yes,
SDVLxxy,"Set Dolby Volume Leveler to y (0=off, 1-9) for the Input # xx (xx=00-ZZ where ZZ is the number of active input configurations, 00=the current input).",SDVLxx? returns SDVLxxy,yes,
SLIPxxyyy,"Set Lip Sync to yyy (0-150) ms for the Input # xx (xx=00-ZZ where ZZ is the number of active input configurations, 00=the current input).  Step must be in increments of 5ms or error will result.",SLIPxx? returns SLIPxxyyy,yes,
SIPx,"Set Standby IP Control to Disabled (x=0) or Enabled (x=1). This must be enabled for the power-on command to operate via IP. With serial control, the power-on command need not be sent twice (once for wake-up) when this setting is enabled. Note that sending SIP1 disables ECO mode.",SIP? returns SIPx,yes,
SSPxxy,"Set Speaker Profile to # y for profile 1 (y=1), profile 2 (y=2), profile 3 (y=3) and profile 4 (y=4) for the Input # xx (xx=00-ZZ where ZZ is the number of active input configurations, 00= the current input).",SSPxx? returns SSPxxy,yes,
SPNy?,"Query the Speaker Profile name of the specified profile # y for profile 1 (y=1), profile 2 (y=2), profile 3 (y=3) and profile 4 (y=4)",SPNy? Returns SNPyzzzzzzzz where zzzzzzzz= Profile Name in ASCII as set in the setup menu,,
ZxPOWy,"Power. x=zone: 0 (all), 1 (main), 2 (where applicable), 3 (where applicable).  y: 0=off, 1=on.  When unit is in ECO standby mode (see product manual), it may be necessary to send the power-on command twice. Ex:""Z0POW1;Z0POW1;"". The first instance is the wake-up from low-power state. Note that Zx=Z0 applies only to power command.",ZxPOW? returns ZxPOWy,yes,
ICN?,Query number of active input configurations that the system supports,"returns ICNyy e.g. ""ICN9"" for a system with 9 active inputs",yes,
ISNyy?,Query the short input name of the input yy=01-ZZ.,returns 'ISNyyzzzz' where 'zzzz'= Input name as set in the setup menu. Maximum length of the short input name is 8 ASCII characters.,yes,
ILNyy?,Query the long input name of the input yy=01-ZZ.,returns 'ILNyyzzzz' where 'zzzz'= Input name as set in the setup menu. Maximum length of the long input name is 16 ASCII characters (not applicable to MRX x10).,yes,
ZxINPyy,Input Select: yy=01-ZZ. Where ZZ is the number of active input configurations for the specified zone. Eg: 'Z1INP9' would select the 9th input in the main zone. When selecting an input that has no input connector assigned to Z2 the MRX x10 will silently ignore the input select command.,"ZxINP? returns ZxINPyy  e.g. ""Z1INP10"".",yes,
ZxVUPyy,"Volume up: y=dB step: 0 to 10, m=minimum according to model. Entry is rounded to nearest valid value",,,
ZxVDNyy,"Volume down: y=dB step: 0 to 10, m=minimum according to model. Entry is rounded to nearest valid value.",,,
ZxVOLsyy,"Volume setting: s=sign: +/-, yy=value.  Example: Z1VOL-35 represents main zone volume set to -35 dB.  Entry is rounded to nearest valid value.",ZxVOL? returns ZxVOLsyy,yes,
ZxMUTy,"Mute: 0=unmute, 1=mute, t=toggle",ZxMUT? returns ZxMUTy (y=0-1),yes,
ZxARCy,"Turn ARC (Anthem Room Correction) off (y=0) or on (y=1) for the specified zone (currently ARC is only available on the Main zone, x=1)",ZxARC? returns ZxARCy (y=0-1),yes,
Z1BLTyyy,"Balance all channels to left: y= %: 0 to 100, m=minimum according to model. Entry is rounded to nearest valid value.",,,
Z1BRTyyy,"Balance all channels to right: y= %: 0 to 100, m=minimum according to model. Entry is rounded to nearest valid value.",,,
Z1BALyyy,Balance setting: yyy=% 0 to 100. Example: Z1BAL100 represents balance completely to the right. Z1BAL0 represents balance completely to the left. Z1BAL50 is balance in the middle. Entry is rounded to nearest valid value.,Z1BAL? returns Z1BALyyy,yes,
Z1LUPyzz,"Level up: y=channels: 0=subs, 1=fronts, 2=center, 3=surrounds, 4=backs, 5=LFE, 6=Heights1, 7=Heights2.  y=dB step: 0 to 10, m=minimum according to model",,,
Z1LDNyzz,"Level down: y=channels: 0=subs, 1=fronts, 2=center, 3=surrounds, 4=backs, 5=LFE, 6=Heights1, 7=Heights2. y=dB step: 0 to 10, m=minimum according to model",,,
Z1LEVyszz,"Level setting: y=Channels: 0=subs, 1=fronts, 2=center, 3=surrounds, 4=backs, 5=LFE, 6=Heights1, 7=Heights2. s=sign: +/-, zz=value.  Example: Z1LEV1+01 represents fronts boosted by 1 dB.  Entry is rounded to nearest valid value. Subs, fronts, center, surrounds, backs have range -10 dB to +10 dB. LFE has range -10 dB to 0 dB.",Z1LEVy? returns Z1LEVyszz,yes,
Z1TUPyzz,"Tone up: y=0 bass, 1 treble, zz=dB step: 0 to 10, m=minimum according to model.",,,
Z1TDNyzz,"Tone down: y=0 bass, 1 treble, zz=dB step: 0 to 10, m=minimum according to model.",,,
